item,document,label,claim,artifact,script,campaign,manifest,defined_in
STable S51,supplement,tab:gradient-sensitivity,"Gradient-degree sensitivity of the forced variational solve, over 253 sampled epochs of each of the eight orbits' archived reference. δ mathbf G = mathbf G_N_ref - mathbf G_120. The last two columns give the neglected forcing as a fraction of lVert Δ mathbf arVert _rms, for the worse of the two policies: ""typical"" uses the median gradient truncation over the arc, ""worst pairing"" the arc maximum against the arc's RMS displacement, an upper bound whose two factors do not co-occur",r21_gradient_sensitivity_table.tex,rev21_finalize_manifest.py; rev21_gradient_sensitivity.py,R21,metrics/r21_final_experiment_manifest.json,chapters/supp_budget_pareto.tex
STable S52,supplement,tab:gradient-degree-audit,"The gradient degree removed rather than bounded, on a registered stratified subset of the forced-variational panel. ρ is the predicted fixed-to-radial error ratio; the two columns give it with the reference gravity gradient at degree 120, as the panel computes it, and at that orbit's own adopted reference degree. ""res."" is whether the propagated comparison resolves under the reference-inclusive rule. A side change would be a row whose two ratios straddle one; there are none",r39_gradient_degree_table.tex,rev39_finalize_manifest.py; rev39_table.py,R39,metrics/r39_final_experiment_manifest.json,chapters/supp_budget_pareto.tex
STable S53,supplement,tab:fixed-oracle,"Three fixed comparators at β = 1. N_sat is the budget-saturating degree, the largest whose per-call quadratic work fits the budget; N_oracle is the degree that actually minimizes the seven-day error over a declared ladder of offsets below it, found post hoc and not selectable in advance. The seven-day error is not monotone in degree, so these differ. ρ columns are the fixed error over the radial rule's, so values below unity favor the constant degree. The oracle can only improve the fixed side, so it can only strengthen a conclusion that already favors it: the constant degree is the more accurate policy on 14 of 16 orbits against N_sat and 15 of 16 against N_oracle",r15_fixed_oracle_table.tex,rev15_finalize_manifest.py; rev15_tables.py,R15,metrics/r15_final_experiment_manifest.json,chapters/supp_budget_pareto.tex
STable S54,supplement,tab:deployable-calibration,"Budget calibration without the reference arc. The O25 tolerance is found by bisecting on the archived reference trajectory's altitude history, which no operational user has in advance. The two lower rows of each block replace it with information available beforehand: the two-body altitude history implied by the initial state, and the altitude history of an N=40 loose-tolerance pilot arc costing a median 8% of the real run's gravity work. Realized β and the calibration error are measured on the true arc. ρ _budget=E_fix/E_rad, so values below unity favor the constant degree. The verdict is unchanged under every calibration: what foreknowledge of the arc buys is budget adherence, not accuracy",r15_deployable_table.tex,rev15_finalize_manifest.py; rev15_tables.py,R15,metrics/r15_final_experiment_manifest.json,chapters/supp_budget_pareto.tex
STable S55,supplement,tab:budget-trajectory-pareto,"Propagated fixed-budget comparison across the budget grid, for the budget-calibrated radial rule and the constant degree at equal per-call work. ^ddagger marks the registered (O33) grid extensions; the same notation is used throughout",r14_trajectory_pareto_table.tex,rev14_finalize_manifest.py; rev14_tables.py,R14,metrics/r14_final_experiment_manifest.json,chapters/supp_budget_pareto.tex
STable S56,supplement,tab:budget-oracle,"O26 Lagrangian-relaxed reference-path allocation benchmark. At each budget the relaxation N_eta (t)=arg min _N[d(t,N)+eta N^2] is solved along the archived reference trajectory with the multiplier eta bisected to the budget. Over a discrete degree set this recovers only the supported efficient solutions of a multiple-choice allocation problem, so it returns an attainable allocation rather than the constrained minimum, and the penalties (each policy's defect divided by the benchmark's) are conservative. The benchmark reads the reference trajectory and the local reference field at every epoch, so it is a diagnostic rather than a controller, and it speaks only about the instantaneous force defect. Its degree grid is coarse above degree 100 while every policy degree is inserted exactly, which pushes the ratios the same way",r14_oracle_table.tex,rev14_finalize_manifest.py; rev14_tables.py,R14,metrics/r14_final_experiment_manifest.json,chapters/supp_budget_pareto.tex
STable S57,supplement,tab:campaign-cost,"Estimated single-threaded gravity-kernel time at the declared budget, by campaign size. Per-arc cost is each orbit's realized total quadratic work priced at the rate measured in the controlled timing session; medians are over all 128 orbits of the two coverage designs. Columns are rounded independently from the full-resolution record, so the printed difference of two columns need not reproduce the printed third",r40_campaign_cost_table.tex,rev35_finalize_manifest.py; rev40_campaign_cost_table.py,R35,metrics/r35_final_experiment_manifest.json,chapters/supp_budget_pareto.tex
STable S58,supplement,tab:span-by-k,"The continuation family member by member, at every declared budget. Span, error and the two cost ratios are medians over the design; ""best on"" counts the orbits on which that member has the lowest measured error, so the column sums to the design size. Work ratios are relative to the constant endpoint of the same budget. Endpoint rows are the archived budget campaign, not re-propagated",r18_by_k_table.tex,rev22_finalize_manifest.py; rev22_supplement_tables.py,R22,metrics/r22_final_experiment_manifest.json,chapters/supp_span_sweep.tex
STable S59,supplement,tab:span-budget,"The interpolation path, member by member. ""Best k"" is the member with the lowest measured error on the most orbits; span, error and work are medians over the design at that k, with work relative to the constant degree at the same budget. The last column counts orbits on which the best interior member resolves against both endpoints, under the nominal per-call accounting",r18_budget_table.tex,rev18_finalize_manifest.py,R18,metrics/r18_final_experiment_manifest.json,chapters/supp_span_sweep.tex
STable S60,supplement,tab:midpoint,"The post-hoc midpoint β=0.62 under both definitions of an equal budget, on all 64 orbits of each design. Columns match Table ref tab:equal-work. This budget is not on the frozen calibration grid and is not pre-registered; it is reported here rather than in the main table so that registered and post-hoc points are not shown at equal standing",r28_midpoint_table.tex,rev28_finalize_manifest.py; rev28_tables.py,R28,metrics/r28_final_experiment_manifest.json,chapters/supp_span_sweep.tex
STable S61,supplement,tab:threshold-sensitivity,"The tight-level realized-work tallies of Section ref sec:equal-work re-counted at three resolution cuts, reported as interior--fixed, on the two confirmatory designs and the six populations carrying the post-hoc budget. The scoring-tolerance rematch of Section ref sec:equal-work-tighter, which Table ref tab:equal-work reports, is a separate campaign and is not re-counted here. Nothing is propagated: the errors and envelopes are those already recorded, and only the value of M_res required to call a comparison resolved changes. The rightmost column is the median M_res over that population's 64 comparisons, which says how far the typical comparison sits from any of these cuts",r27_threshold_sensitivity_table.tex,rev25_finalize_manifest.py; rev27_threshold_sensitivity.py,R25,metrics/r25_final_experiment_manifest.json,chapters/supp_span_sweep.tex
STable S62,supplement,tab:ultra-span,"The β=1 realized-work comparison re-run at a third, ultra-tight tolerance level. The panel is every comparison that already resolved plus every one within a factor of two of resolving, fixed before the reruns were made. Errors are taken at the texttt tighter level against the texttt tighter reference; each envelope is rebuilt from the tighter-to-ultra self-difference of that policy and of the reference. M_res is the error difference in units of that envelope, so a value above one is a resolved comparison",r23_ultra_table.tex,rev23_finalize_manifest.py; rev23_tables.py,R23,metrics/r23_final_experiment_manifest.json,chapters/supp_span_sweep.tex
STable S63,supplement,tab:span-oracle,"The interior member (k=0.5) at β=1 against two constant comparators on the 16-orbit oracle panel: the nominated budget-saturating degree, and the best degree available under the same budget over the pre-declared ladder. Counts are per-orbit comparisons that clear the summed reference-inclusive envelope; ""unres."" counts those that do not; ρ is the median of the per-orbit ratios of the comparator's error to the interior member's. The oracle is a post-hoc lower envelope, not a policy",r23_oracle_table.tex,rev23_finalize_manifest.py; rev23_tables.py,R23,metrics/r23_final_experiment_manifest.json,chapters/supp_span_sweep.tex
STable S64,supplement,tab:oracle-ultra,"The oracle panel re-run at the third tolerance level. Errors are the texttt tighter-level errors of Table ref tab:span-oracle and do not move; each envelope is rebuilt from that policy's tighter-to-ultra self-difference plus the reference's. ""unres."" counts comparisons that do not clear the summed envelope. A flip is a resolved verdict reversing its winner; a comparison passing from undecided to resolved is not a flip",r24_oracle_ultra_table.tex,rev24_finalize_manifest.py; rev24_tables.py,R24,metrics/r24_final_experiment_manifest.json,chapters/supp_span_sweep.tex
STable S65,supplement,tab:bin-control-budget,"The bin-resolution control at the budget-calibrated point, on the ten resolved β=1 comparisons of widest degree span. Every parameter of the interior member is held at its archived value; only the quantization is removed. A reversal is a resolved verdict changing its winner; lost resolution is a resolved comparison falling below the summed envelope",r24_bin_control_table.tex,rev24_finalize_manifest.py; rev24_tables.py,R24,metrics/r24_final_experiment_manifest.json,chapters/supp_span_sweep.tex
STable S66,supplement,tab:equal-work,The interior member (k=0.5) against the constant degree under two equal-budget definitions. Counts are resolved comparisons and ρ the median per-orbit fixed-to-interior ratio over all 64 orbits,r44_equal_work_table.tex,rev44_finalize_manifest.py; rev44_tables.py,R44,metrics/r44_final_experiment_manifest.json,chapters/supp_span_sweep.tex
STable S67,supplement,tab:bracket-shift,"The crossing bracket of each row under the two matching conventions, the two confirmatory designs included. Daggered brackets rest on at least one boundary cell",r61_bracket_shift_table.tex,rev61_finalize_manifest.py; rev61_tables.py,R61,metrics/r61_final_experiment_manifest.json,chapters/supp_span_sweep.tex
STable S68,supplement,tab:equal-work-tighter-ext,"Every registered cell of the extended rematch, the tight-level tally beside the scoring-tolerance one. Daggered cells are boundary cells under the resolution cut",r61_equal_work_table.tex,rev61_finalize_manifest.py; rev61_tables.py,R61,metrics/r61_final_experiment_manifest.json,chapters/supp_span_sweep.tex
STable S69,supplement,tab:accounting-ladder,"The three cost accountings for the interior members, interior--constant resolved comparisons with undecided in parentheses. A dash is a cell never propagated. The population columns are per design because the registration of the measured-time row reports each design separately",r65_accounting_ladder_table.tex,make_accounting_ladder_table.py; rev65_finalize_manifest.py,R65,metrics/r65_final_experiment_manifest.json,chapters/supp_span_sweep.tex
STable S70,supplement,tab:apolune-posthoc,"Post-hoc apolune stratification of the (O60) interior arm. Registered outcomes are per design; this cut was made after the result and is a diagnostic, not a geometry claim",r68_apolune_posthoc_table.tex,rev68_finalize_manifest.py; rev68_tables.py,R68,metrics/r68_final_experiment_manifest.json,chapters/supp_span_sweep.tex
STable S71,supplement,tab:band-misses,"The (O59) and (O60) cells outside the prescribed 0.95--1.05 time-match band. Registered as reportable, not as excludable: all ten stay in the primary tallies",r68_band_table.tex,rev68_finalize_manifest.py; rev68_tables.py,R68,metrics/r68_final_experiment_manifest.json,chapters/supp_span_sweep.tex
STable S72,supplement,tab:designC-ladder,"The third coverage design, budget by budget, in the columns the first two designs are reported in. The two rows of each budget are the nominal per-call and the realized total quadratic work accountings. Counts are resolved comparisons under the reference-inclusive resolution rule; ρ is the median per-orbit error ratio",r29_designC_table.tex,rev29_finalize_manifest.py; rev29_tables.py,R29,metrics/r29_final_experiment_manifest.json,chapters/supp_designC.tex
STable S73,supplement,tab:three-design,"The three coverage designs side by side on the frozen budget grid, realized total quadratic work. Entries absent on a design are budgets that design has not propagated; they are left blank rather than interpolated",r29_three_design_table.tex,rev29_finalize_manifest.py; rev29_tables.py,R29,metrics/r29_final_experiment_manifest.json,chapters/supp_designC.tex
STable S74,supplement,tab:strata-panel,"The propagated strata at the declared budget, realized total quadratic work and the nominal per-call budget it is matched on. Counts are resolved comparisons under the reference-inclusive resolution rule. The coverage designs are reported in Sections ref sec:span-sweep, ref sec:designC and the main text; a stratum's sub-box lies inside their box, so the two are read side by side and never summed",r30_population_table.tex,,R30,metrics/r30_final_experiment_manifest.json,chapters/supp_strata.tex
STable S75,supplement,tab:operational-cap-control,"The endpoint comparison with the ceiling at the adopted reference degree and with it lifted, decomposed by whether the capped run's schedule reached the ceiling on that orbit. Each pair is the same 64 orbits under the two reference degrees. ρ is the median per-orbit fixed-to-radial error ratio over all orbits of the block; ""work"" is the median realized total quadratic work of the radial endpoint over that of the constant degree, so a value above one means the radial side spent more. Only the two budgets where the ceiling binds on more than a handful of orbits carry a decomposition",r38_uncapped_table.tex,rev38_tables.py,,,chapters/supp_operational.tex
STable S76,supplement,tab:endpoint-equal-work,"The radial endpoint against a constant degree matched on realized total quadratic work rather than nominal per-call work. ρ is the median per-orbit work-matched-to-radial error ratio, so above one favors the radial endpoint",r58_endpoint_equal_work_table.tex,rev58_finalize_manifest.py; rev58_tables.py,R58,metrics/r58_final_experiment_manifest.json,chapters/supp_operational.tex
STable S77,supplement,tab:operational-panel,"The operational elliptical population at the declared budget, in the columns every other population is reported in. Perilune 80--120 km, apolune 700--2500 km, eccentricity 0.145--0.395: outside the frozen factor box the coverage designs sample, which the asterisked row alone in this paper marks. The coverage designs are repeated below the rule for reference and are not pooled with it",r31_population_table.tex,,R31,metrics/r31_final_experiment_manifest.json,chapters/supp_operational.tex
STable S78,supplement,tab:ladder-geometry,"What the apolune carries with it, by level, over the ladder's two identity blocks together. The revolution count is the seven-day horizon divided by the period",r50_ladder_geometry_table.tex,rev50_ladder_geometry.py,,,chapters/supp_span_ladder.tex
STable S79,supplement,tab:span-ladder-primary,"The allocation response along the paired apolune ladder. (a) Radial endpoint against its equal-budget constant degree, by apolune level and budget; orbit counts are per cell, as a range where the levels in a column differ, and turnover is the level pair the verdict changes between. (b) Interior member against a work-matched constant degree, in the same cells",r50_span_ladder_primary_table.tex; r50_span_ladder_secondary_table.tex,,,,chapters/supp_span_ladder.tex
STable S80,supplement,tab:capped-vs-uncapped,"The span ladder under its reference-degree ceiling and with the ceiling removed, block A. Bold marks the one cell that changes hands",r51_capped_vs_uncapped_table.tex,rev51_tables.py,,,chapters/supp_span_ladder.tex
STable S81,supplement,tab:block-replication,"The two identity blocks with the reference-degree ceiling removed, level by level and budget by budget",r52_block_replication_table.tex,rev52_tables.py,,,chapters/supp_span_ladder.tex
STable S82,supplement,tab:ladder-interior-rematch,"The ladder's interior panel with the comparator matched at the scoring tolerance, per apolune level and never pooled across levels. Daggered cells are cut-sensitive",r62_ladder_interior_table.tex,rev62_finalize_manifest.py; rev62_tables.py,R62,metrics/r62_final_experiment_manifest.json,chapters/supp_span_ladder.tex
STable S83,supplement,tab:ladder-uncapped-rematch,"The ceiling-free ladder's interior panel under the scoring-tolerance match, per apolune level and never pooled across levels",r63_ladder_uncapped_table.tex,rev63_finalize_manifest.py; rev63_tables.py,R63,metrics/r63_final_experiment_manifest.json,chapters/supp_span_ladder.tex
STable S84,supplement,tab:jgcd-cross-solution,"The budget comparison at β = 1 under one set of definitions, on two GRAIL solutions produced independently from shared tracking data. The primary-field rows are the archived populations re-scored with the campaign's statistic, not transcribed from the archived summaries",rJ_table_cross_solution.tex,revJ_tables.py,J,metrics/rJ_final_experiment_manifest.json,chapters/supp_jgcd_replication.tex
STable S85,supplement,tab:jgcd-cross-solution-medians,Median ratios for the same three populations. ρ _F < 1 means the radial allocation has the smaller force defect; ρ _X > 1 means it has the larger trajectory error,rJ_table_cross_solution_medians.tex,revJ_tables.py,J,metrics/rJ_final_experiment_manifest.json,chapters/supp_jgcd_replication.tex
STable S86,supplement,tab:jgcd-budget-grid,"Force-metric ranking against budget on both gravity solutions. ""wins"" counts orbits on which the radial rule has the smaller defect. A budget is censored where a policy reaches the adopted reference degree and its defect is identically zero, so the uncensored count falls as the budget rises",rJ_table_budget_grid_both.tex,revJ_tables.py,J,metrics/rJ_final_experiment_manifest.json,chapters/supp_jgcd_replication.tex
STable S87,supplement,tab:jgcd-budget-ladder,"The two metrics on the same population of the cross-solution field, budget by budget. The force metric reverses across the grid; the trajectory metric does not. Counts are over the resolved comparisons",rJ_table_budget_ladder.tex,revJ_tables.py,J,metrics/rJ_final_experiment_manifest.json,chapters/supp_jgcd_replication.tex
STable S88,supplement,tab:jgcd-budget-ladder-primary,"The same ladder on the primary solution, pooled over both confirmatory designs and re-scored from archived trajectories with no new integration. The pooling is one of the two the paper allows: these counts measure what the censor removes rather than rank the policies, whose design-separated verdicts are in Table ref tab:budget-trajectory-pareto. Rows differ from 2× 64 because the censor described above drops a budget wherever the radial schedule reaches the reference degree (JprimCensoredAtCross at β=0.75, JprimCensoredAtUnit at β=1), and design B carries no archived record at β=1.25. Point estimates are at the tighter level where Table ref tab:budget-trajectory-pareto scores at tight",rJ_table_budget_ladder_primary.tex,revJ_ladder_primary.py,J,metrics/rJ_final_experiment_manifest.json,chapters/supp_jgcd_replication.tex
STable S89,supplement,tab:jgcd-full-dynamics,"The budget comparison under DE440/MOON_PA dynamics with third-body gravity and eclipsed SRP, across budgets, population sizes, designs, and the two calibration arms. ""Resolved in both"" counts orbits whose comparison resolves under gravity-only and full dynamics; ""sign agrees"" counts those of them whose trajectory-metric ordering is unchanged. The ""recalibrated"" row is the arm whose accuracy parameter was re-derived on the full-dynamics reference so that it holds the declared budget",rJ_table_full_dynamics.tex,revJ_tables.py,J,metrics/rJ_final_experiment_manifest.json,chapters/supp_jgcd_replication.tex
STable S90,supplement,tab:jgcd-geometry,"The wide-elliptic population under DE440/MOON_PA with third-body gravity and eclipsed SRP. ρ is the median radial-over-constant trajectory-error ratio, so a value below one favors the radial endpoint; it is the reciprocal of the main text's ρ _budget. ""Resolved in both"" counts orbits resolving under gravity-only and full dynamics alike",rJ_geometry_dynamics_table.tex,rev56_tables.py,J,metrics/rJ_final_experiment_manifest.json,chapters/supp_jgcd_replication.tex
STable S91,supplement,tab:jgcd-tolerance,The resolution rule re-applied to each adjacent pair of tolerance levels. ^dagger marks the pair this paper uses,rJ_table_tolerance_designA.tex,,J,metrics/rJ_final_experiment_manifest.json,chapters/supp_jgcd_replication.tex
STable S92,supplement,tab:jgcd-tolerance-strata,"Sign stability across all four tolerance levels, by the margin stratum the orbit was drawn from. M_res < 1 is the region the resolution rule declares undecided and excludes from every reported count",rJ_table_tolerance_strata_designA.tex,,J,metrics/rJ_final_experiment_manifest.json,chapters/supp_jgcd_replication.tex
STable S93,supplement,tab:jgcd-tolerance-B,The same control on the second archived design,rJ_table_tolerance_designB.tex,,J,metrics/rJ_final_experiment_manifest.json,chapters/supp_jgcd_replication.tex
STable S94,supplement,tab:jgcd-tolerance-strata-B,Sign stability by margin stratum on the second archived design,rJ_table_tolerance_strata_designB.tex,,J,metrics/rJ_final_experiment_manifest.json,chapters/supp_jgcd_replication.tex
(not in manuscript),none,,28-day LRO-like (30 216~km polar) fixed-degree versus corrected-blend comparison at position/velocity-split vector tolerance,r11_blend_vector_table.tex,rev11_finalize_manifest.py; rev11_manuscript_tables.py,R11,metrics/r11_final_experiment_manifest.json,
(not in manuscript),none,,"Per-orbit design-B vector-tolerance results, columns as in the design-A per-orbit table",r11_designB_per_orbit_table.tex,rev11_finalize_manifest.py; rev11_manuscript_tables.py,R11,metrics/r11_final_experiment_manifest.json,
(not in manuscript),none,,Per-orbit design-A vector-tolerance results,r11_full64_per_orbit_table.tex,rev11_finalize_manifest.py; rev11_manuscript_tables.py,R11,metrics/r11_final_experiment_manifest.json,
(not in manuscript),none,,"Initial-phase dispersion of the seven-day 50 300~km polar scheduling penalty at position/velocity-split vector tolerance, over 24 initial true anomalies",r11_phase_sweep_table.tex,rev11_finalize_manifest.py; rev11_manuscript_tables.py,R11,metrics/r11_final_experiment_manifest.json,
(not in manuscript),none,,"Direct Atallah radial-adaptive benchmark on the 64-orbit design-A set, perilune-tolerance matched to the critical fixed degree's perilune error target and appli",r12_atallah_benchmark_table.tex,rev12_finalize_manifest.py,R12,metrics/r12_final_experiment_manifest.json,
(not in manuscript),none,,"Direct Atallah radial-adaptive benchmark on the independent design-B set, perilune-tolerance matched to the critical fixed degree's perilune error target and ap",r12_atallah_benchmark_table_designB.tex,rev12_finalize_manifest.py,R12,metrics/r12_final_experiment_manifest.json,
(not in manuscript),none,,"Per-orbit matching record for the Atallah benchmark, design~A",r12_atallah_matching_table_A.tex,rev12_finalize_manifest.py,R12,metrics/r12_final_experiment_manifest.json,
(not in manuscript),none,,"Per-orbit matching record for the Atallah benchmark, design~B",r12_atallah_matching_table_B.tex,rev12_finalize_manifest.py,R12,metrics/r12_final_experiment_manifest.json,
(not in manuscript),none,,"Per-orbit equal-budget comparison at = 1, design~A",r14_beta1_per_orbit_A.tex,rev14_finalize_manifest.py; rev14_tables.py,R14,metrics/r14_final_experiment_manifest.json,
(not in manuscript),none,,"Per-orbit equal-budget comparison at = 1, design~B",r14_beta1_per_orbit_B.tex,rev14_finalize_manifest.py; rev14_tables.py,R14,metrics/r14_final_experiment_manifest.json,
(not in manuscript),none,,Fixed-budget force-level comparison; each cell pairs design~A with design~B so the replication reads across,r14_force_pareto_table.tex,rev14_finalize_manifest.py; rev14_tables.py,R14,metrics/r14_final_experiment_manifest.json,
(not in manuscript),none,,Equal-budget comparison with the budget defined as measured serial gravity-kernel time rather than the quadratic proxy,r14_timing_budget_table_compact.tex,rev14_finalize_manifest.py; rev14_timing_budget.py,R14,metrics/r14_final_experiment_manifest.json,
(not in manuscript),none,,Sixty-day growth by checkpoint (meters),r17_longarc60_growth_table.tex,rev17_finalize_manifest.py; rev17_tables.py,R17,metrics/r17_final_experiment_manifest.json,
(not in manuscript),none,,Sixty-day comparison on the widened geometry set,r17_longarc60_table.tex,rev17_finalize_manifest.py; rev17_tables.py,R17,metrics/r17_final_experiment_manifest.json,
(not in manuscript),none,,"Design~A: seven-day position RMS (m) at the tighter level for each member of the family, by orbit",r18_span_detail_table_A.tex,rev18_finalize_manifest.py,R18,metrics/r18_final_experiment_manifest.json,
(not in manuscript),none,,"Design~B: seven-day position RMS (m) at the tighter level for each member of the family, by orbit",r18_span_detail_table_B.tex,rev18_finalize_manifest.py,R18,metrics/r18_final_experiment_manifest.json,
(not in manuscript),none,,"The same path in numbers, at =1",r18_span_table.tex,rev18_finalize_manifest.py; rev18_tables.py,R18,metrics/r18_final_experiment_manifest.json,
(not in manuscript),none,,"The interior member (k=0.5) against the constant degree under two definitions of an equal budget, at two declared budgets",r19_equal_work_table.tex,rev19_finalize_manifest.py; rev19_tables.py; rev25_finalize_manifest.py,"R19, R25",metrics/r19_final_experiment_manifest.json; metrics/r25_final_experiment_manifest.json,
(not in manuscript),none,,"Sixty-day record of the interpolation family on the eight design-A orbits with an archived sixty-day truth, ordered by perilune",r20_longarc_detail_table.tex,rev22_finalize_manifest.py; rev22_supplement_tables.py,R22,metrics/r22_final_experiment_manifest.json,
(not in manuscript),none,,,r23_oracle_per_orbit_table.tex,rev23_finalize_manifest.py; rev23_tables.py,R23,metrics/r23_final_experiment_manifest.json,
(not in manuscript),none,,,r28_equal_work_table.tex,rev28_finalize_manifest.py; rev28_tables.py,R28,metrics/r28_final_experiment_manifest.json,
(not in manuscript),none,,,r37_panel_extension_table.tex,rev37_finalize_manifest.py; rev37_table.py,R37,metrics/r37_final_experiment_manifest.json,
(not in manuscript),none,,,r48_interior_timing_table.tex,rev48_finalize_manifest.py; rev48_tables.py,R48,metrics/r48_final_experiment_manifest.json,
(not in manuscript),none,,,rJ_field_comparison_final_table.tex,,J,metrics/rJ_final_experiment_manifest.json,
(not in manuscript),none,,,rJ_field_comparison_table.tex,,J,metrics/rJ_final_experiment_manifest.json,
(not in manuscript),none,,,rJ_numbers.tex,revJ_selfcheck.py; revJ_tables.py,J,metrics/rJ_final_experiment_manifest.json,
(not in manuscript),none,,,rJ_table_budget_grid_crossfield.tex,revJ_tables.py,J,metrics/rJ_final_experiment_manifest.json,
(not in manuscript),none,,,rJ_table_cross_solution_wrapped.tex,revJ_tables.py,J,metrics/rJ_final_experiment_manifest.json,
(not in manuscript),none,,,rJ_table_fidelity.tex,revJ_tables.py,J,metrics/rJ_final_experiment_manifest.json,
